site,gap_fraction,median_streambed_particle_size_d50_scaled,stream_depth_cm_mean,stream_depth_cm_var,lux,do_mg_l,conductivity_ms_cm,pH,temp_c,turbidity_ntu,stream_width_m,abun,S,hill,rarified_rich,mean_weight_g,total_biomass_g,watershed,tp_scaled,p_scaled,tn_scaled,D50_us
Adena,-1.083739645,0.135927821,12.66666667,178.25,0.048275,5.683333333,777.3333333,7.81,22.2,1.52,9.213333333,82,4,1.842298122,1.767867216,12.99268293,1065.4,Olentangy,0.662105055,-0.590163094,-0.529842755,40.66666667
Adena,-0.968305332,-0.107857905,13.77777778,189.1944444,0.046866667,5.383333333,692,7.856666667,22.43333333,1.227333333,8.833333333,100,3,1.734247199,1.693560048,9.122,912.2,Olentangy,0.695740031,-0.04794714,-0.180480594,34.2
Bill Moose,-0.772302654,-0.065132572,10.44444444,96.27777778,1.736755556,6.06,893.3333333,7.706666667,23.7,1.307,8.45,347,4,2.080691155,1.940914908,2.725648415,945.8,Olentangy,0.617848508,-0.120242601,-0.453470561,35.33333333
Bill Moose,-1.048973782,0.173626645,16.77777778,97.94444444,0.007415814,6.216666667,966.6666667,7.82,24.1,1.117333333,7.366666667,211,4,2.232365438,2.047915551,1.864454976,393.4,Olentangy,0.623159293,-0.111205668,-0.427471517,41.66666667
Cosgray,-0.911657264,-0.894506692,32.11111111,41.86111111,1.2197375,5.596666667,710,7.943333333,23.7,1.047666667,3.2,6,3,3,3,12.45,74.7,Scioto,0.768320769,0.611748937,-0.575341083,13.33333333
Cosgray,-1.165190577,0.01780484,21.55555556,70.02777778,0.024816667,5.71,873.3333333,7.893333333,23.9,1.529333333,3.4,8,1,1,1,17.7125,141.7,Scioto,0.327525557,0.440047218,-0.082984177,37.53333333
Cosgray,0.79547311,-0.894506692,16,24,2.361291667,13.02333333,956,8.863333333,6.6,1.366666667,3.2,10,3,2.229591874,2.277777778,4.8,48,Scioto,-0.766496293,-0.770901745,-0.230853743,13.33333333
Cosgray,0.853185717,0.01780484,15.5,24.7,0.218629167,13.62,985,8.91,6.6,2.206666667,3.4,3,2,1.889881575,2,9.4,28.2,Scioto,-0.796590745,-0.75282788,-0.076484416,37.53333333
Dublin Rec,-1.00032341,-0.26367971,14.875,128.6075,0.745116667,4.59,731.3333333,7.503333333,24.2,2.476666667,4.6,125,7,2.90305129,2.365210904,8.2408,1030.1,Scioto,-0.113269654,1.307592744,-0.373848488,30.06666667
Dublin Rec,-0.923667455,-0.509978691,14.45,103.9081818,0.143675,4.293333333,713.3333333,7.433333333,24.3,4.403333333,7.283333333,144,7,4.563098206,3.086046431,4.915972222,707.9,Scioto,0.161120939,1.614848451,-0.450220681,23.53333333
Dublin Rec,1.096264705,-0.26367971,28.66666667,225.8666667,1.54535,11.28,1013.333333,8.79,5.333333333,15.3,4.6,18,6,5.176208279,3.587535014,18.01111111,324.2,Scioto,-0.584159318,-0.707643217,0.029136703,30.06666667
