total_biomass_g,common_name,species,site,season,year,reach,abundance,mean_depth_cm_sc
4.5,Central Stoneroller,Campostoma anomalum,Adena,Summer,y1,Lit,2,-0.305756174
997.1,Creek Chub,Semotilus atromaculatus,Adena,Summer,y1,Lit,84,-0.305756174
9.4,Western Blacknose Dace,Rhinichthys obtusus,Adena,Summer,y1,Lit,4,-0.305756174
23.4,Central Stoneroller,Campostoma anomalum,Adena,Summer,y1,Unlit,11,-0.403256361
420.8,Creek Chub,Semotilus atromaculatus,Adena,Summer,y1,Unlit,97,-0.403256361
36.8,Western Blacknose Dace,Rhinichthys obtusus,Adena,Summer,y1,Unlit,26,-0.403256361
521.8,Creek Chub,Semotilus atromaculatus,Bill Moose,Summer,y1,Lit,74,-0.250912319
87.2,Green Sunfish,Lepomis cyanellus,Bill Moose,Summer,y1,Lit,11,-0.250912319
36.4,Western Blacknose Dace,Rhinichthys obtusus,Bill Moose,Summer,y1,Lit,31,-0.250912319
320.5,Creek Chub,Semotilus atromaculatus,Bill Moose,Summer,y1,Unlit,55,0.644870652
4.1,Green Sunfish,Lepomis cyanellus,Bill Moose,Summer,y1,Unlit,2,0.644870652
12.2,Western Blacknose Dace,Rhinichthys obtusus,Bill Moose,Summer,y1,Unlit,20,0.644870652
70.1,Bluegill Sunfish,Lepomis macrochirus,Cosgray,Summer,y1,Lit,1,0.023306958
78.9,Green Sunfish,Lepomis cyanellus,Cosgray,Summer,y1,Lit,4,0.023306958
130.7,Green Sunfish,Lepomis cyanellus,Cosgray,Summer,y1,Unlit,6,-0.817632158
385.7,Bluegill Sunfish,Lepomis macrochirus,Dublin Rec,Summer,y1,Lit,41,0.181744763
15.2,Bluegill x Green Sunfish,Lepomis macrochirus x cyanellus,Dublin Rec,Summer,y1,Lit,2,0.181744763
7.2,Creek Chub,Semotilus atromaculatus,Dublin Rec,Summer,y1,Lit,2,0.181744763
341.6,Green Sunfish,Lepomis cyanellus,Dublin Rec,Summer,y1,Lit,15,0.181744763
202.1,Largemouth Bass,Micropterus salmoides,Dublin Rec,Summer,y1,Lit,7,0.181744763
1,Western Mosquitofish,Gambusia affinis,Dublin Rec,Summer,y1,Lit,2,0.181744763
100.9,Yellow Bullhead,Ameiurus natalis,Dublin Rec,Summer,y1,Lit,6,0.181744763
332.7,Bluegill Sunfish,Lepomis macrochirus,Dublin Rec,Summer,y1,Unlit,43,-0.525131596
23.7,Bluegill x Green Sunfish,Lepomis macrochirus x cyanellus,Dublin Rec,Summer,y1,Unlit,3,-0.525131596
144.6,Creek Chub,Semotilus atromaculatus,Dublin Rec,Summer,y1,Unlit,10,-0.525131596
215.6,Green Sunfish,Lepomis cyanellus,Dublin Rec,Summer,y1,Unlit,16,-0.525131596
232.4,Largemouth Bass,Micropterus salmoides,Dublin Rec,Summer,y1,Unlit,18,-0.525131596
1.8,Orangethroat Darter,Etheostoma spectabile,Dublin Rec,Summer,y1,Unlit,1,-0.525131596
13.6,Western Mosquitofish,Gambusia affinis,Dublin Rec,Summer,y1,Unlit,26,-0.525131596
130.3,Yellow Bullhead,Ameiurus natalis,Dublin Rec,Summer,y1,Unlit,13,-0.525131596
7.8,Bluegill Sunfish,Lepomis macrochirus,Noble,Summer,y1,Lit,2,-0.500756549
22.8,Central Stoneroller,Campostoma anomalum,Noble,Summer,y1,Lit,2,-0.500756549
242.8,Creek Chub,Semotilus atromaculatus,Noble,Summer,y1,Lit,7,-0.500756549
170.2,Green Sunfish,Lepomis cyanellus,Noble,Summer,y1,Lit,10,-0.500756549
34.4,Western Blacknose Dace,Rhinichthys obtusus,Noble,Summer,y1,Lit,19,-0.500756549
16.4,White Sucker,Catostomus commersonii,Noble,Summer,y1,Lit,2,-0.500756549
2.5,Bluegill Sunfish,Lepomis macrochirus,Noble,Summer,y1,Unlit,1,1.248153061
25.6,Central Stoneroller,Campostoma anomalum,Noble,Summer,y1,Unlit,2,1.248153061
871.6,Creek Chub,Semotilus atromaculatus,Noble,Summer,y1,Unlit,22,1.248153061
