lifespanDays,treatment,fertility
24,high-cost,sterile
24,high-cost,sterile
22,high-cost,sterile
26,high-cost,sterile
26,high-cost,sterile
26,high-cost,sterile
33,high-cost,sterile
33,high-cost,sterile
33,high-cost,sterile
38,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
30,high-cost,sterile
30,high-cost,sterile
30,high-cost,sterile
30,high-cost,sterile
30,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
27,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
25,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
38,high-cost,sterile
29,high-cost,sterile
37,high-cost,fertile
24,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
33,high-cost,fertile
26,high-cost,fertile
26,high-cost,fertile
26,high-cost,fertile
26,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
38,high-cost,fertile
28,high-cost,fertile
28,high-cost,fertile
22,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
30,high-cost,fertile
