tank,block,trt,treatment,pred,lethality,cons,cons2,Date,Stocked,larval_period_days,total_days,Days,Photo,TailPhoto...15,mass_g,hl,svl,tl,hw,gr,phenotype,Pheno_terr,Pheno_mat,Sex,tail_length_mm,TailPhoto...27,tail_depth_mm,tail_muscle_mm,tail_area,r,g,b,rgb,rgbform,hue,saturation,brightness,Note,survivors,survival,deaths
25,Block 6,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-05-18T00:00:00Z,2017-01-31T00:00:00Z,107,107,107,DSC_6847,NA,1.447,10.025,31.084,58.646,9.1,0.290504673,Metamorph,Terrestrial,Mature,NA,27.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.916666667,1
39,Block 4,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-05-18T00:00:00Z,2017-01-25T00:00:00Z,113,113,113,DSC_6848,NA,2.034,10.951,36.012,68.454,9.326,0.318690265,Metamorph,Terrestrial,Mature,NA,32.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.666666667,4
8,Block 5,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-05-25T00:00:00Z,2017-01-31T00:00:00Z,114,114,114,DSC_6862,NA,3.284,10.367,40.058,77.734,10.71,0.351385965,Metamorph,Terrestrial,Mature,NA,37.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.583333333,5
13,Block 6,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-05-25T00:00:00Z,2017-01-31T00:00:00Z,114,114,114,DSC_6863,NA,1.821,10.429,35.528,68.646,9.463,0.311649123,Metamorph,Terrestrial,Mature,NA,33.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
39,Block 4,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-05-28T00:00:00Z,2017-01-25T00:00:00Z,123,123,123,DSC_6888,NA,1.966,10.715,36.913,68.92,9.663,0.300105691,Metamorph,Terrestrial,Mature,NA,32.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.666666667,4
39,Block 4,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-05-28T00:00:00Z,2017-01-25T00:00:00Z,123,123,123,DSC_6889,NA,2.027,11.578,35.957,66.549,9.77,0.292333333,Metamorph,Terrestrial,Mature,NA,30.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.666666667,4
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-05-28T00:00:00Z,2017-01-25T00:00:00Z,123,123,123,DSC_6890,NA,1.391,10.978,34.612,63.577,8.751,0.281398374,Metamorph,Terrestrial,Mature,NA,28.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.916666667,1
29,Block 2,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-05-31T00:00:00Z,2017-01-25T00:00:00Z,126,126,126,DSC_6914,NA,2.23,10.058,38.394,72.562,9.764,0.304714286,Metamorph,Terrestrial,Mature,NA,34.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.583333333,5
39,Block 4,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-05-31T00:00:00Z,2017-01-25T00:00:00Z,126,126,126,DSC_6915,NA,2.141,10.617,36.014,69.738,9.997,0.285825397,Metamorph,Terrestrial,Mature,NA,33.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.666666667,4
7,Block 6,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-06-03T00:00:00Z,2017-01-31T00:00:00Z,123,123,123,DSC_6928,NA,4.279,11.273,44.166,83.874,11.627,0.359073171,Metamorph,Terrestrial,Mature,NA,39.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.333333333,8
13,Block 6,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-06-03T00:00:00Z,2017-01-31T00:00:00Z,123,123,123,DSC_6929,NA,2.206,9.765,38.255,71.894,10.165,0.31101626,Metamorph,Terrestrial,Mature,NA,33.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
24,Block 1,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-06-03T00:00:00Z,2017-01-25T00:00:00Z,129,129,129,DSC_6930,NA,1.834,10.711,34.223,66.168,9.285,0.265294574,Metamorph,Terrestrial,Mature,NA,31.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,0
29,Block 2,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-06-03T00:00:00Z,2017-01-25T00:00:00Z,129,129,129,DSC_6931,NA,3.222,10.568,41.373,84.211,10.772,0.32072093,Metamorph,Terrestrial,Mature,NA,42.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.583333333,5
7,Block 6,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-06-07T00:00:00Z,2017-01-31T00:00:00Z,127,127,127,DSC_6949,NA,3.874,13.373,44.477,84.61,11.729,0.350212598,Metamorph,Terrestrial,Mature,NA,40.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.333333333,8
30,Block 1,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-06-07T00:00:00Z,2017-01-25T00:00:00Z,133,133,133,DSC_6950,NA,2.798,11.441,39.57,76.406,10.112,0.297518797,Metamorph,Terrestrial,Mature,NA,36.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.416666667,7
13,Block 6,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-06-10T00:00:00Z,2017-01-31T00:00:00Z,130,130,130,DSC_6968,NA,2.412,10.372,37.021,73.789,10.049,0.284776923,Metamorph,Terrestrial,Mature,NA,36.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
25,Block 6,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-06-10T00:00:00Z,2017-01-31T00:00:00Z,130,130,130,DSC_6969,NA,1.64,10.791,34.108,61.682,9.507,0.262369231,Metamorph,Terrestrial,Mature,NA,27.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.916666667,1
25,Block 6,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-06-10T00:00:00Z,2017-01-31T00:00:00Z,130,130,130,DSC_6970,NA,1.713,9.715,33.576,63.206,9.475,0.258276923,Metamorph,Terrestrial,Mature,NA,29.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.916666667,1
28,Block 3,CE Fundulus chrysotus,Consumptive Fundulus chrysotus,Fundulus chrysotus,Lethal,Consumptive,CE,2017-06-10T00:00:00Z,2017-01-25T00:00:00Z,136,136,136,DSC_6971,NA,NA,NA,NA,NA,NA,NA,Metamorph,Terrestrial,Mature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD. Could not mass. :(   NEED TO SCALE,6,0.5,6
27,Block 4,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-06-13T00:00:00Z,2017-01-25T00:00:00Z,139,139,139,DSC_6980,NA,1.441,10.144,33.668,59.709,8.71,0.242215827,Metamorph,Terrestrial,Mature,NA,26.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,0
35,Block 2,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-06-13T00:00:00Z,2017-01-25T00:00:00Z,139,139,139,DSC_6982,NA,2.171,10.807,36.628,67.788,10.14,0.263510791,Metamorph,Terrestrial,Mature,NA,31.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
38,Block 5,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-06-13T00:00:00Z,2017-01-31T00:00:00Z,133,133,133,DSC_6983,NA,1.38,9.652,34.718,61.755,9.209,0.261037594,Metamorph,Terrestrial,Mature,NA,27.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
1,Block 6,CE Aphredoderus sayanus,Consumptive Aphredoderus sayanus,Aphredoderus sayanus,Lethal,Consumptive,CE,2017-06-13T00:00:00Z,2017-01-31T00:00:00Z,133,133,133,DSC_6999,NA,3.972,12.554,43.827,83.11,10.863,0.329526316,Metamorph,Terrestrial,Mature,NA,39.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.25,9
17,Block 2,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-06-19T00:00:00Z,2017-01-25T00:00:00Z,145,145,145,DSC_7005,NA,2.426,11.05,39.056,73.878,9.825,0.269351724,Metamorph,Terrestrial,Mature,NA,34.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.75,3
24,Block 1,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-06-22T00:00:00Z,2017-01-25T00:00:00Z,148,148,148,DSC_7032,NA,1.986,11.552,37.094,70.115,9.567,0.250635135,Metamorph,Terrestrial,Mature,NA,33.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,0
27,Block 4,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-06-22T00:00:00Z,2017-01-25T00:00:00Z,148,148,148,DSC_7033,NA,1.158,9.129,30.916,53.161,7.872,0.208891892,Metamorph,Terrestrial,Mature,NA,22.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,0
19,Block 6,CE Fundulus chrysotus,Consumptive Fundulus chrysotus,Fundulus chrysotus,Lethal,Consumptive,CE,2017-06-28T00:00:00Z,2017-01-31T00:00:00Z,148,148,148,DSC_7053,NA,5.128,13.04,50.712,92.181,11.727,0.342648649,Metamorph,Terrestrial,Mature,NA,41.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.166666667,10
34,Block 3,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-06-28T00:00:00Z,2017-01-25T00:00:00Z,154,154,154,DSC_7054,NA,1.064,9.246,31.597,56.485,8.637,0.205175325,Metamorph,Terrestrial,Mature,NA,24.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
15,Block 4,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-09-15T00:00:00Z,2017-01-25T00:00:00Z,233,233,233,DSC_7189,NA,2.906,11.195,41.529,75.023,9.887,0.178236052,Metamorph,Terrestrial,Mature,NA,33.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
17,Block 2,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-09-15T00:00:00Z,2017-01-25T00:00:00Z,233,233,233,DSC_7190,NA,3.376,10.354,41.713,81.296,10.795,0.179025751,Metamorph,Terrestrial,Mature,NA,39.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.75,3
