Tank,Block,InitialDensity,Date,Stocked,LarvalPeriod,Photo,Grmass,Growthrate,Mass_g,HL,SVL,TL,HW,Phenotype,AqvT
18,Block 3,33,5/18/2017,1/21/2017,117,DSC_6843,0.018547009,0.320880342,2.17,10.296,37.543,70.293,9.93,Metamorph,Terrestrial
20,Block 3,38,5/21/2017,1/21/2017,120,DSC_6854,0.008783333,0.262341667,1.054,8.846,31.481,55.897,8.308,Metamorph,Terrestrial
37,Block 5,18,5/21/2017,1/24/2017,117,DSC_6855,0.01682906,0.281461538,1.969,10.445,32.931,65.063,9.524,Metamorph,Terrestrial
36,Block 5,28,5/24/2017,1/24/2017,120,DSC_6861,0.0156,0.2935,1.872,9.401,35.22,69.309,9.558,Metamorph,Terrestrial
18,Block 3,33,5/25/2017,1/21/2017,124,DSC_6864,0.019870968,0.310959677,2.464,10.566,38.559,74.486,10.617,Metamorph,Terrestrial
23,Block 3,18,5/25/2017,1/21/2017,124,DSC_6865,0.016008065,0.282951613,1.985,10,35.086,66.12,9.494,Metamorph,Terrestrial
36,Block 5,28,5/25/2017,1/24/2017,121,DSC_6866,0.011826446,0.27761157,1.431,9.71,33.591,64.217,9.308,Metamorph,Terrestrial
36,Block 5,28,5/25/2017,1/24/2017,121,DSC_6867,0.014371901,0.311173554,1.739,10.041,37.652,66.847,9.425,Metamorph,Terrestrial
34,Block 5,23,5/28/2017,1/24/2017,124,DSC_6884,0.011580645,0.272491935,1.436,9.452,33.789,61.777,8.816,Metamorph,Terrestrial
23,Block 3,18,5/28/2017,1/21/2017,127,DSC_6891,0.015417323,0.294456693,1.958,9.738,37.396,69.278,9.991,Metamorph,Terrestrial
30,Block 4,13,5/28/2017,1/24/2017,124,DSC_6892,0.017024194,0.300548387,2.111,10.821,37.268,69.437,10.106,Metamorph,Terrestrial
39,Block 5,13,5/28/2017,1/24/2017,124,DSC_6893,0.029354839,0.368685484,3.64,12.645,45.717,85.287,11.379,Metamorph,Terrestrial
32,Block 4,38,5/28/2017,1/24/2017,124,DSC_6898,0.025903226,0.343991935,3.212,12.114,42.655,82.106,11.098,Metamorph,Terrestrial
23,Block 3,18,5/31/2017,1/21/2017,130,DSC_6916,0.017484615,0.286938462,2.273,9.197,37.302,71.474,10.063,Metamorph,Terrestrial
36,Block 5,28,5/31/2017,1/24/2017,127,DSC_6917,0.012818898,0.273937008,1.628,10.469,34.79,64.544,9.196,Metamorph,Terrestrial
34,Block 5,23,6/3/2017,1/24/2017,130,DSC_6932,0.011792308,0.255253846,1.533,9.611,33.183,61.077,9.045,Metamorph,Terrestrial
4,Block 1,28,6/7/2017,1/20/2017,138,DSC_6951,0.005652174,0.221101449,0.78,8.489,30.512,51.487,7.849,Metamorph,Terrestrial
25,Block 4,23,6/7/2017,1/24/2017,134,DSC_6952,0.009649254,0.247059701,1.293,9.544,33.106,59.828,8.66,Metamorph,Terrestrial
16,Block 2,18,6/10/2017,1/21/2017,140,DSC_6963,0.012578571,0.263235714,1.761,9.532,36.853,61.701,9.616,Metamorph,Terrestrial
31,Block 4,8,6/10/2017,1/24/2017,137,DSC_6964,0.02380292,0.304773723,3.261,11.585,41.754,76.145,10.814,Metamorph,Terrestrial
37,Block 5,18,6/10/2017,1/24/2017,137,DSC_6965,0.01249635,0.254291971,1.712,9.927,34.838,64.899,9.232,Metamorph,Terrestrial
23,Block 3,18,6/16/2017,1/21/2017,146,DSC_7000,0.014246575,0.270493151,2.08,9.311,39.492,70.092,9.904,Metamorph,Terrestrial
15,Block 2,8,6/19/2017,1/21/2017,149,DSC_7006,0.020644295,0.258234899,3.076,11.463,38.477,77.702,10.311,Metamorph,Terrestrial
20,Block 3,38,6/22/2017,1/21/2017,152,DSC_7025,0.0085,0.220052632,1.292,8.548,33.448,61.092,8.864,Metamorph,Terrestrial
17,Block 3,3,6/22/2017,1/21/2017,152,DSC_7026,0.034368421,0.325618421,5.224,11.936,49.494,95.727,12.184,Metamorph,Terrestrial
16,Block 2,18,6/25/2017,1/21/2017,155,DSC_7045,0.014767742,0.237116129,2.289,10.741,36.753,65.427,9.105,Metamorph,Terrestrial
26,Block 4,28,6/25/2017,1/24/2017,152,DSC_7046,0.008019737,0.217611842,1.219,8.645,33.077,61.656,8.982,Metamorph,Terrestrial
14,Block 2,38,6/28/2017,1/21/2017,158,DSC_7055,0.039512658,0.323012658,6.243,13.715,51.036,97.04,12.823,Metamorph,Terrestrial
20,Block 3,38,7/2/2017,1/21/2017,162,DSC_7066,#VALUE!,0.20491358,NA,NA,33.196,60.16,NA,Metamorph,Terrestrial
13,Block 2,3,7/2/2017,1/21/2017,162,DSC_7067,0.033611111,0.301537037,5.445,13.36,48.849,96.295,11.959,Metamorph,Terrestrial
2,Block 1,8,7/19/2017,1/20/2017,180,DSC_7131,0.023577778,0.245416667,4.244,11.176,44.175,83.109,11.464,Metamorph,Terrestrial
12,Block 2,28,9/7/2017,1/21/2017,229,DSC_7180,0.006244541,0.133742358,1.43,10.331,30.627,58.38,8.801,Metamorph,Terrestrial
7,Block 1,23,9/19/2017,1/20/2017,242,DSC_7206,0.010446281,0.154644628,2.528,10.84,37.424,72.564,10.069,Metamorph,Terrestrial
7,Block 1,23,9/19/2017,1/20/2017,242,DSC_7207,0.010268595,0.157190083,2.485,10.954,38.04,74.205,10.069,Metamorph,Terrestrial
13,Block 2,3,9/19/2017,1/21/2017,241,DSC_7208,0.032240664,0.218721992,7.77,13.754,52.712,115.674,12.743,Metamorph,Terrestrial
34,Block 5,23,9/19/2017,1/24/2017,238,DSC_7209,0.013554622,0.171310924,3.226,11.093,40.772,77.758,10.712,Metamorph,Terrestrial
14,Block 2,38,9/19/2017,1/21/2017,241,DSC_7210,0.034315353,0.235593361,8.27,13.356,56.778,109.644,13.41,Metamorph,Terrestrial
36,Block 5,28,9/19/2017,1/24/2017,238,DSC_7212,0.012852941,0.172310924,3.059,11.886,41.01,78.094,10.638,Metamorph,Terrestrial
6,Block 1,18,9/23/2017,1/20/2017,246,DSC_7225,0.006264228,0.136434959,1.541,10.403,33.563,60.654,9.03,Metamorph,Terrestrial
16,Block 2,18,9/23/2017,1/21/2017,245,DSC_7226,0.010767347,0.174,2.638,10.356,42.63,78.894,10.47,Metamorph,Terrestrial
17,Block 3,3,9/23/2017,1/21/2017,245,DSC_7227,0.026314286,0.214873469,6.447,13.938,52.644,98.425,12.554,Metamorph,Terrestrial
15,Block 2,8,9/27/2017,1/21/2017,249,DSC_7276,0.017180723,0.180072289,4.278,11.811,44.838,89.166,12.014,Metamorph,Terrestrial
26,Block 4,28,9/27/2017,1/24/2017,246,DSC_7277,0.007747967,0.138979675,1.906,9.793,34.189,66.953,9.15,Metamorph,Terrestrial
36,Block 5,28,9/27/2017,1/24/2017,246,DSC_7278,0.012902439,0.180325203,3.174,12.23,44.36,83.466,11.276,Metamorph,Terrestrial
26,Block 4,28,10/3/2017,1/24/2017,252,DSC_7276,0.007063492,0.140277778,1.78,9.685,35.35,66.14,9.42,Metamorph,Terrestrial
31,Block 4,8,10/20/2017,1/24/2017,269,DSC_7294,0.026914498,0.193821561,7.24,13.723,52.138,106.682,12.586,Metamorph,Terrestrial
33,Block 5,3,10/28/2017,1/24/2017,277,DSC_7295,0.045090253,0.219545126,12.49,13.714,60.814,123.834,14.32,Metamorph,Terrestrial
2,Block 1,8,12/14/2017,1/20/2017,328,DSC_7859,0.02392378,0.15845122,7.847,14.867,51.972,109.093,12.715,Paedomorph,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7860,0.004131098,0.100597561,1.355,8.657,32.996,63.95,7.88,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7861,0.004512195,0.093768293,1.48,9.761,30.756,60.091,8.436,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7862,0.005329268,0.110085366,1.748,10.472,36.108,66.201,9.017,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7863,0.004560976,0.100219512,1.496,9.549,32.872,66.232,8.611,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7864,0.005246951,0.107222561,1.721,9.995,35.169,70.586,8.152,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7865,0.003064024,0.083920732,1.005,9.014,27.526,50.916,7.872,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7866,0.005112805,0.102301829,1.677,9.938,33.555,68.884,8.753,Larva,Aquatic
