tank,block,initial_density,svl,phenotype,mass_g,gr,survival
2,Block 1,8,44.175,Metamorph,4.244,0.245416667,0.25
2,Block 1,8,51.972,Paedomorph,7.847,0.15845122,0.25
3,Block 1,33,32.996,Larva,1.355,0.100597561,0.9090909090909091
3,Block 1,33,30.756,Larva,1.48,0.093768293,0.9090909090909091
3,Block 1,33,36.108,Larva,1.748,0.110085366,0.9090909090909091
3,Block 1,33,32.872,Larva,1.496,0.100219512,0.9090909090909091
3,Block 1,33,35.169,Larva,1.721,0.107222561,0.9090909090909091
3,Block 1,33,27.526,Larva,1.005,0.083920732,0.9090909090909091
3,Block 1,33,33.555,Larva,1.677,0.102301829,0.9090909090909091
3,Block 1,33,34.231,Larva,1.738,0.104362805,0.9090909090909091
3,Block 1,33,30.676,Larva,1.5,0.09352439,0.9090909090909091
3,Block 1,33,34.524,Larva,1.74,0.105256098,0.9090909090909091
3,Block 1,33,32.82,Larva,1.497,0.100060976,0.9090909090909091
3,Block 1,33,33.371,Larva,1.351,0.101740854,0.9090909090909091
3,Block 1,33,33.238,Larva,1.489,0.101335366,0.9090909090909091
3,Block 1,33,32.844,Larva,1.535,0.100134146,0.9090909090909091
3,Block 1,33,35.608,Larva,1.817,0.108560976,0.9090909090909091
3,Block 1,33,31.897,Larva,1.409,0.097246951,0.9090909090909091
3,Block 1,33,35.884,Larva,1.741,0.109402439,0.9090909090909091
3,Block 1,33,30.466,Larva,1.555,0.092884146,0.9090909090909091
3,Block 1,33,31.47,Larva,1.432,0.095945122,0.9090909090909091
3,Block 1,33,33.944,Larva,1.861,0.103487805,0.9090909090909091
3,Block 1,33,32.053,Larva,1.417,0.097722561,0.9090909090909091
3,Block 1,33,35.828,Larva,1.886,0.109231707,0.9090909090909091
3,Block 1,33,33.925,Larva,1.772,0.103429878,0.9090909090909091
3,Block 1,33,34.079,Larva,1.63,0.10389939,0.9090909090909091
3,Block 1,33,33.215,Larva,1.669,0.101265244,0.9090909090909091
3,Block 1,33,27.804,Larva,0.755,0.084768293,0.9090909090909091
3,Block 1,33,32.849,Larva,1.74,0.10014939,0.9090909090909091
3,Block 1,33,30.998,Larva,1.479,0.094506098,0.9090909090909091
3,Block 1,33,31.732,Larva,1.191,0.096743902,0.9090909090909091
3,Block 1,33,31.785,Larva,1.315,0.096905488,0.9090909090909091
4,Block 1,28,30.512,Metamorph,0.78,0.221101449,0.9642857142857143
4,Block 1,28,33.166,Larva,1.52,0.101115854,0.9642857142857143
4,Block 1,28,34.747,Larva,1.684,0.105935976,0.9642857142857143
4,Block 1,28,32.344,Larva,1.444,0.098609756,0.9642857142857143
4,Block 1,28,32.488,Larva,1.473,0.09904878,0.9642857142857143
4,Block 1,28,32.648,Larva,1.333,0.099536585,0.9642857142857143
4,Block 1,28,32.929,Larva,1.531,0.100393293,0.9642857142857143
4,Block 1,28,35.612,Larva,1.95,0.108573171,0.9642857142857143
4,Block 1,28,32.592,Larva,1.384,0.099365854,0.9642857142857143
4,Block 1,28,30.635,Larva,1.269,0.09339939,0.9642857142857143
4,Block 1,28,29.749,Larva,1.174,0.090698171,0.9642857142857143
4,Block 1,28,29.582,Larva,0.774,0.090189024,0.9642857142857143
4,Block 1,28,32.942,Larva,1.635,0.100432927,0.9642857142857143
4,Block 1,28,32.693,Larva,1.585,0.09967378,0.9642857142857143
4,Block 1,28,29.989,Larva,1.379,0.091429878,0.9642857142857143
4,Block 1,28,34.779,Larva,1.573,0.106033537,0.9642857142857143
4,Block 1,28,33.693,Larva,1.519,0.102722561,0.9642857142857143
4,Block 1,28,28.356,Larva,1.178,0.08645122,0.9642857142857143
4,Block 1,28,31.974,Larva,1.489,0.097481707,0.9642857142857143
4,Block 1,28,33.053,Larva,1.394,0.100771341,0.9642857142857143
